Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEFM AZEREDO;32081502;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA HORACIO LEANDRO DE SOUZA, 204 BASILEIA. 29302-874 Cachoeiro de Itapemirim - ES.";(28) 35225310;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª ARIETTE MOULIN COSTA;32081782;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE CLEZIO MORENO JUNIOR, 02 SAO LUCAS. 29313-714 Cachoeiro de Itapemirim - ES.";(28) 35268726;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.845145;-41.15914
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PE JEFFERSON LUIZ DE MAGALHAES;32081790;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"ROD RICARDO BARBIERI, 120 BOA VISTA. 29315-442 Cachoeiro de Itapemirim - ES.";(28) 35268764;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8337882;-41.1787689
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;CENTRO INTEGRADO DE ATIVIDADES EDUCACIONAIS NEWTON BRAGA;32081863;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARIO IMPERIAL, 01 FERROVIARIOS. 29308-014 Cachoeiro de Itapemirim - ES.";(28) 31555623;Municipal;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UP TO DATE INSTITUTO DE ENSINO MULTILINGUE LTDA - EPP;32082363;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA AMELIA MOLINAROLI GIRO, 57 SAO GERALDO. 29303-384 Cachoeiro de Itapemirim - ES.";(28) 999872838;Privada;Particular;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.8676798455611;-41.1240482144441
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª VALERIA AQUINO VIANA;32082541;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DEMIR COSSI, SN ITAOCA PEDRA. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35228376;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-20.72866156;-41.13433499
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SAO JOAO DA LANCHA;32099428;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA SAO JOAO DA LANCHA, S/N SAO JOAO DA LANCHA. AREA RURAL DE CACHOEIRO DE ITAPEMIRIM. 29320-899 Cachoeiro de Itapemirim - ES.";(28) 999641050;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-20.9070916;-41.0705303
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL APOGEU;32101627;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA BEIRA RIO, 229 VIVA SHOPPING - 2 AN. GUANDU. 29300-765 Cachoeiro de Itapemirim - ES.";(28) 35222425;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;;;-20.85688;-41.09968
ESCOLA PARALISADA;PRCI CACHOEIRO DE ITAPEMIRIM;32101953;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA MARIO ROMANELLI, CENTRO. 29300-020 Cachoeiro de Itapemirim - ES.";(28) 35242308;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;SIMPLICITE EDUCACIONAL;32102097;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Privada;"AVENIDA BEIRA RIO, CENTRO. 29300-205 Cachoeiro de Itapemirim - ES.";(28) 35217892;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB TERESA DE AVELAR PICOLI;32104022;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE RIBEIRO AVELAR, 353 ESCOLA. CORREGO DOS MONOS. 29328-000 Cachoeiro de Itapemirim - ES.";(28) 35119078;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8681266666667;-41.210055
ESCOLA PARALISADA;EMEB DR JOAO DE DEUS MADUREIRA FILHO;32105010;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA PLINIO VIEIRA MACHADO, 49 RUBEM BRAGA. 29309-630 Cachoeiro de Itapemirim - ES.";(28) 35216540;Municipal;Não Informado;Não;;;;;-20.82577;-41.12004
ESCOLA PARALISADA;PROGRAMA INTEGRACAO AABB COMUNIDADE;32106017;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"AVENIDA FREDERICO AUGUSTO COSER, AEROPORTO. 29314-045 Cachoeiro de Itapemirim - ES.";(28) 35212831;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;SALA INSTALADA DE SANTA FE;32113005;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"AREA RURAL, AREA RURAL DE CACHOEIRO DE ITAPEMIRIM. 29320-899 Cachoeiro de Itapemirim - ES.";(28) 35116010;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB JOSE PEIXOTO;32122063;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA CORINTO BARBOSA LIMA, VILLAGE DA LUZ. 29309-415 Cachoeiro de Itapemirim - ES.";(28) 35171871;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF ATHAYR CAGNIN;32123060;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL BELMIRO DOS SANTOS, 109 RUA PRINCIPAL. NOSSA SENHORA DE FATIMA. 29308-645 Cachoeiro de Itapemirim - ES.";(28) 31555104;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.83616327;-41.11122303
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª CIBELIA TEIXEIRA ZIPPINOTI;32125003;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CARLOS VIANA, 0 COUTINHO. 29322-100 Cachoeiro de Itapemirim - ES.";(28) 35398269;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.7568969;-41.1946224
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EFA DE CACHOEIRO DE ITAPEMIRIM;32134002;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Privada;"RUA JOAO DOMINGO ZAGO, S/N PERTO DO INCAPER. PACOTUBA. 29323-000 Cachoeiro de Itapemirim - ES.";(28) 999100585;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Médio, Educação Profissional";;;
